bolita południowy
daniel
foka szara
gibbon czapnik
gibbon ungko
goral chiński
kangur rudy
lampart perski
leniwiec dwupalczasty
lew
lori mały
lwiatka złota
makak japoński
marmozeta biała
miko czarny
oryks szablorogi
osioł domowy
osioł domowy Poitou
osioł somalijski
pancernik włochaty
panda mała
pantera śnieżna
pigmejka
renifer fiński
saki białolica
słoń indyjski
surykatka
tamaryna białoczuba
tamaryna cesarska
tamaryna dwubarwna
tapir malajski
tygrys syberyjski
urson
wilk grzywiasty
zebra Hartmanna
żyrafa Rothschilda
amadyna ostrosterna
ara szafirowa
ara zielona
cietrzew
cyraneczka czerwonoramienna, cudokaczka
dama niebieskobrzucha
dudek
dzioborożec fałdodzioby
gęś cesarska
gołąbek diamentowy
ibis czarnogłowy
ibis purpurowy
karolinka
legwan kubański
legwan skalny
legwan wyspowy
legwan zielony
legwanik błękitny
orlicja
pelomeduza czarna
pelomeduza gabońska
pelomeduza południowoafrykańska
gołąb ozdobny
kaczka piżmowa
koza karłowata
królik karłowaty
kuc szetlandzki
kura ozdobna
owca skudde
perliczka
